repeat,fold,threshold,test_case_count,test_leakage_group_count,test_pass,test_fail,test_tp,test_fp,test_tn,test_fn,test_far,test_precision,test_recall,test_f1,test_specificity,test_balanced_accuracy,test_g_mean,test_coverage,test_accepted_high_risk_proxy_failures,test_rejected_technical_pass_cases
5,2,0.78,29,13,22,7,20.0,0.0,7.0,2.0,0.0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.9545454545454546,0.9534625892455924,0.6896551724137931,0,2
5,2,0.7888,29,13,22,7,20.0,0.0,7.0,2.0,0.0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.9545454545454546,0.9534625892455924,0.6896551724137931,0,2
5,3,0.78,15,6,10,5,8.0,0.0,5.0,2.0,0.0,1.0,0.8,0.888888888888889,1.0,0.9,0.8944271909999159,0.5333333333333333,0,2
5,3,0.7888,15,6,10,5,8.0,0.0,5.0,2.0,0.0,1.0,0.8,0.888888888888889,1.0,0.9,0.8944271909999159,0.5333333333333333,0,2
5,4,0.78,24,13,18,6,17.0,0.0,6.0,1.0,0.0,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9722222222222222,0.97182531580755,0.7083333333333334,0,1
5,4,0.7888,24,13,18,6,17.0,0.0,6.0,1.0,0.0,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9722222222222222,0.97182531580755,0.7083333333333334,0,1
5,5,0.78,168,13,67,101,57.0,0.0,101.0,10.0,0.0,1.0,0.8507462686567164,0.9193548387096774,1.0,0.9253731343283582,0.922359077939127,0.3392857142857143,0,10
5,5,0.7888,168,13,67,101,57.0,0.0,101.0,10.0,0.0,1.0,0.8507462686567164,0.9193548387096774,1.0,0.9253731343283582,0.922359077939127,0.3392857142857143,0,10
6,1,0.78,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
6,1,0.7888,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0,0
6,2,0.78,45,11,30,15,25.0,0.0,15.0,5.0,0.0,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9166666666666667,0.9128709291752769,0.5555555555555556,0,5
6,2,0.7888,45,11,30,15,25.0,0.0,15.0,5.0,0.0,1.0,0.8333333333333334,0.9090909090909091,1.0,0.9166666666666667,0.9128709291752769,0.5555555555555556,0,5
6,3,0.78,8,8,8,0,7.0,0.0,0.0,1.0,0.0,1.0,0.875,0.9333333333333333,0.0,0.4375,0.0,0.875,0,1
6,3,0.7888,8,8,8,0,7.0,0.0,0.0,1.0,0.0,1.0,0.875,0.9333333333333333,0.0,0.4375,0.0,0.875,0,1
6,4,0.78,13,12,12,1,12.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0,0
6,4,0.7888,13,12,12,1,12.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0,0
6,5,0.78,170,14,67,103,58.0,0.0,103.0,9.0,0.0,1.0,0.8656716417910447,0.928,1.0,0.9328358208955223,0.9304147686870865,0.3411764705882353,0,9
6,5,0.7888,170,14,67,103,58.0,0.0,103.0,9.0,0.0,1.0,0.8656716417910447,0.928,1.0,0.9328358208955223,0.9304147686870865,0.3411764705882353,0,9
7,1,0.78,2,1,1,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0
7,1,0.7888,2,1,1,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0
7,2,0.78,20,13,18,2,16.0,0.0,2.0,2.0,0.0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9444444444444444,0.9428090415820634,0.8,0,2
7,2,0.7888,20,13,18,2,16.0,0.0,2.0,2.0,0.0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9444444444444444,0.9428090415820634,0.8,0,2
7,3,0.78,8,7,7,1,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0,0
7,3,0.7888,8,7,7,1,7.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0,0
