model,case_id,correct_rank,top5_candidate_ids,run_1_ms,run_2_ms,run_3_ms,rankings_stable,mandatory_pass
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2101_en,1,claim_test_clm_2026_2101|claim_test_clm_2026_2301|claim_test_clm_2026_2601|claim_test_clm_2026_2501|claim_test_clm_2026_2602,343.216,336.778,343.251,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2101_de,1,claim_test_clm_2026_2101|claim_test_clm_2026_2601|claim_test_clm_2026_2401|claim_test_clm_2026_2301|claim_test_clm_2026_2501,363.714,357.394,357.450,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2201_en,1,claim_test_clm_2026_2201|claim_test_clm_2026_2301|claim_test_clm_2026_2602|claim_test_clm_2026_2601|claim_test_clm_2026_2101,337.843,330.671,337.745,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2201_de,1,claim_test_clm_2026_2201|claim_test_clm_2026_2501|claim_test_clm_2026_2301|claim_test_clm_2026_2101|claim_test_clm_2026_2401,350.882,358.479,359.906,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2301_en,1,claim_test_clm_2026_2301|claim_test_clm_2026_2602|claim_test_clm_2026_2401|claim_test_clm_2026_2201|claim_test_clm_2026_2601,336.614,319.422,330.603,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2301_de,1,claim_test_clm_2026_2301|claim_test_clm_2026_2201|claim_test_clm_2026_2501|claim_test_clm_2026_2601|claim_test_clm_2026_2602,372.269,362.826,377.984,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2401_en,1,claim_test_clm_2026_2401|claim_test_clm_2026_2602|claim_test_clm_2026_2301|claim_test_clm_2026_2601|claim_test_clm_2026_2101,367.531,330.538,352.336,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2401_de,1,claim_test_clm_2026_2401|claim_test_clm_2026_2301|claim_test_clm_2026_2501|claim_test_clm_2026_2601|claim_test_clm_2026_2101,386.692,395.507,378.434,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2501_en,1,claim_test_clm_2026_2501|claim_test_clm_2026_2602|claim_test_clm_2026_2001|claim_test_clm_2026_2201|claim_test_clm_2026_2101,351.410,343.007,329.957,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2501_de,1,claim_test_clm_2026_2501|claim_test_clm_2026_2602|claim_test_clm_2026_2001|claim_test_clm_2026_2201|claim_test_clm_2026_2301,367.323,351.616,370.097,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2601_en,1,claim_test_clm_2026_2601|claim_test_clm_2026_2602|claim_test_clm_2026_2101|claim_test_clm_2026_2301|claim_test_clm_2026_2401,331.920,329.134,332.113,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2601_de,1,claim_test_clm_2026_2601|claim_test_clm_2026_2602|claim_test_clm_2026_2301|claim_test_clm_2026_2501|claim_test_clm_2026_2101,377.079,354.107,374.737,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2602_en,1,claim_test_clm_2026_2602|claim_test_clm_2026_2601|claim_test_clm_2026_2501|claim_test_clm_2026_2001|claim_test_clm_2026_2301,339.186,330.766,331.491,True,True
cross-encoder/ms-marco-MiniLM-L-6-v2,claim_test_clm_2026_2602_de,1,claim_test_clm_2026_2602|claim_test_clm_2026_2601|claim_test_clm_2026_2501|claim_test_clm_2026_2001|claim_test_clm_2026_2101,363.556,355.276,350.089,True,True
