threshold,n,leakage_groups,tp,fp,tn,fn,technical_far,false_rejection_rate,precision,recall,specificity,f1,balanced_accuracy,g_mean,youden_j,coverage,accepted_high_risk_proxy_failures,group_weighted,fixed_group_cv_f1_std,is_selected
0.065,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.066,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.067,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.068,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.069,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.07,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.071,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.072,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.072857,237,46,118.0,117.0,2.0,0.0,0.9831932773109243,0.0,0.502127659574468,1.0,0.01680672268907563,0.668555240793201,0.5084033613445378,0.12964074471043288,0.01680672268907557,0.9915611814345991,111,False,0.1519230140066498,False
0.073,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.074,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.075,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.076,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.077,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.078,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.079,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.08,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.081,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.082,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.083,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.084,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.085,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.085,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.086,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.087,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.088,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.089,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
0.09,237,46,118.0,114.0,5.0,0.0,0.957983193277311,0.0,0.5086206896551724,1.0,0.04201680672268908,0.6742857142857143,0.5210084033613446,0.20498001542269695,0.04201680672268915,0.9789029535864979,108,False,0.1494008898486737,False
